danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_min,popularity,track_name,artist_name
0.73,0.787,1,-6.858,0.597,0.03,0.158,0.254,0.743,159.974,1.4,1,napalm,AC3!
0.71,0.562,1,-9.483,0.287,0.283,0.0,0.122,0.575,149.912,2.16,0,Frostbite,PROZVC
0.319,0.572,0,-9.011,0.0332,0.895,0.00628,0.178,0.341,105.843,5.77,0,Kiss the Ground Kind of Day - Remastered Version,Ebenlo
0.703,0.692,8,-10.325,0.0858,0.0148,0.725,0.061,0.362,169.04,2.2,1,Luxury,Metzger Beats
0.756,0.234,9,-19.078,0.0414,0.763,0.0,0.109,0.311,160.044,5.18,0,Letting It Grow,Eric C Lyden
0.713,0.558,1,-8.674,0.451,0.221,0.0,0.145,0.545,98.447,1.84,1,NAH,Yonny
0.376,0.405,10,-12.776,0.17,0.514,2.62e-06,0.0765,0.276,168.058,3.27,0,Little Princess,OD ObviouslyDifferent
0.54,0.508,0,-5.322,0.0272,0.788,0.0,0.136,0.376,87.924,2.92,1,HOME,RWE REA
0.361,0.322,5,-9.937,0.0371,0.792,0.0,0.139,0.269,174.759,3.84,1,My Kinda Crazy (Live),Chris Hawkey
0.547,0.39,1,-8.731,0.0307,0.837,0.0,0.0987,0.625,126.218,3.97,1,Favorite Song (Live),Chris Hawkey
0.472,0.353,2,-9.42,0.0383,0.798,0.0,0.101,0.377,185.871,3.79,1,Good Liar (Live),Chris Hawkey
0.65,0.223,5,-11.328,0.028,0.871,0.0,0.125,0.385,98.255,4.15,1,Empty Bar (Live),Chris Hawkey
0.476,0.29,2,-12.733,0.0326,0.818,1.98e-06,0.199,0.528,164.346,3.34,1,Little Dance (Live),Chris Hawkey
0.549,0.346,11,-10.155,0.0332,0.818,1.06e-06,0.0971,0.426,76.587,3.34,1,Northern Lights (Live),Chris Hawkey
0.395,0.237,7,-12.254,0.0421,0.885,0.0,0.122,0.264,186.305,3.19,1,One Day (Live),Chris Hawkey
0.663,0.383,4,-9.616,0.0284,0.837,0.0,0.206,0.288,128.123,3.64,1,Summer Burn (Live),Chris Hawkey
0.584,0.321,9,-12.634,0.0333,0.888,0.0,0.129,0.32,81.936,3.39,0,Town Drunk (Live),Chris Hawkey
0.375,0.332,3,-10.091,0.0373,0.841,0.0,0.134,0.407,187.33,3.96,1,The Underdog (Live),Chris Hawkey
0.581,0.269,9,-12.815,0.0352,0.858,0.0,0.0909,0.372,89.999,3.46,1,Williston (Live),Chris Hawkey
0.562,0.877,7,-1.77,0.0427,0.132,0.0,0.28,0.621,113.985,4.86,0,He's Working it out,Tammy Caesar
0.59,0.87,8,-3.647,0.0702,0.141,0.0,0.0624,0.803,134.018,4.06,0,Strong and Mighty,Tammy Caesar
0.462,0.661,1,-1.814,0.034,0.363,1.49e-06,0.119,0.132,104.803,5.1,0,Here I AM,Tammy Caesar
0.695,0.72,0,-4.445,0.053,0.291,0.0,0.368,0.606,91.986,2.82,0,Kings of Kings,Tammy Caesar
0.585,0.621,3,-3.579,0.0356,0.601,1.74e-05,0.11,0.139,117.833,4.38,0,Over and over,Tammy Caesar
0.747,0.565,5,-4.558,0.0753,0.0448,1.32e-06,0.0804,0.551,148.032,3.85,0,Ain't No Doubt it,Tammy Caesar
0.331,0.208,8,-7.895,0.0342,0.93,0.00017,0.11,0.075,132.709,5.8,6,I won't Complain,Tammy Caesar
0.316,0.264,8,-8.473,0.0273,0.903,1.82e-05,0.155,0.276,88.736,4.27,1,Great Is Thy Faithfulness,Tammy Caesar
0.843,0.584,7,-9.115,0.282,0.00246,0.00296,0.121,0.387,171.965,1.87,1,Fast Cars,ynslilblake
0.564,0.372,7,-15.045,0.418,0.463,1.48e-05,0.102,0.376,71.492,3.19,1,Marvin Gayy,ynslilblake
0.84,0.515,2,-9.078,0.314,0.0278,1.64e-06,0.169,0.309,110.047,2.55,2,Forty Thousand,ynslilblake
0.796,0.39,1,-8.004,0.381,0.102,0.0,0.0723,0.361,80.009,2.39,2,BACKSEAT,ynslilblake
0.629,0.617,0,-6.028,0.243,0.207,0.0,0.445,0.579,151.926,2.14,2,Dummy Shi,ynslilblake
0.758,0.48,1,-9.776,0.213,0.0341,1.56e-06,0.279,0.243,98.558,1.88,2,Top Opp 2,ynslilblake
0.53,0.745,1,-6.136,0.417,0.0683,0.0,0.192,0.91,178.117,2.44,8,Stay The Course,Satin
0.476,0.0106,10,-20.771,0.117,0.828,0.378,0.109,0.746,207.198,0.98,1,Happy Birthday,Classical Lullabies TaTaTa
0.451,0.0758,2,-18.348,0.264,0.983,0.723,0.183,0.863,180.986,0.94,1,"Head, Shoulders, Knee And Toes",Classical Lullabies TaTaTa
0.651,0.112,2,-19.366,0.302,0.98,0.23,0.493,0.671,107.357,1.29,1,Lavender's Blue,Classical Lullabies TaTaTa
0.829,0.0332,2,-20.896,0.119,0.991,0.113,0.382,0.884,108.641,0.81,1,London Bridge,Classical Lullabies TaTaTa
0.724,0.0204,2,-20.748,0.0757,0.968,0.393,0.108,0.53,100.886,1.25,1,Ba Ba Black Sheep,Classical Lullabies TaTaTa
0.695,0.0926,11,-17.108,0.161,0.976,0.116,0.162,0.523,69.18,1.18,1,The Itsy Bitsy Spider,Classical Lullabies TaTaTa
0.658,0.0433,1,-18.886,0.27,0.769,0.236,0.0994,0.784,119.691,1.98,1,The Wheels On The Bus,Classical Lullabies TaTaTa
0.593,0.0774,5,-19.14,0.196,0.676,0.507,0.212,0.796,89.182,1.49,1,Brahms,Classical Lullabies TaTaTa
0.717,0.0422,11,-17.662,0.164,0.753,0.242,0.079,0.547,109.021,1.16,1,Twinkle Twinkle Little Star,Classical Lullabies TaTaTa
0.531,0.592,6,-11.658,0.0359,0.00758,0.561,0.594,0.35,119.948,4.97,8,Light the Fire,The Consequences of Our Own Actions
0.187,0.403,0,-16.342,0.0881,0.98,0.992,0.156,0.297,80.011,1.24,0,Intro,Love Noka
0.361,0.714,0,-4.629,0.037,0.00153,0.000489,0.109,0.326,168.394,5.53,2,Can't Breathe,Love Noka
0.376,0.657,7,-4.638,0.0316,0.0269,0.00553,0.0899,0.353,142.532,4.84,1,Someone Like You,Love Noka
0.275,0.663,1,-5.585,0.044,0.00498,0.00993,0.328,0.366,163.645,5.18,1,Would You Notice,Love Noka
0.217,0.772,10,-3.948,0.041,0.000392,0.00133,0.0952,0.377,169.908,4.35,1,Too Late,Love Noka
0.219,0.695,10,-4.618,0.0338,0.00277,0.0148,0.166,0.322,89.785,9.09,4,All That Glitters Is Not Gold,Love Noka
0.691,0.435,11,-12.821,0.0434,0.529,0.18,0.116,0.33,179.012,3.22,8,Go Hard for This,GhostEntertainmentMusic
0.8,0.716,11,-5.753,0.316,0.0564,0.0,0.115,0.951,158.078,2.03,8,I CAN'T,DTAP
0.726,0.774,1,-5.811,0.185,0.00397,0.0,0.104,0.28,131.993,2.04,8,Go Through,LilRyan
0.594,0.651,10,-9.927,0.0893,0.318,0.0,0.0897,0.361,97.035,1.89,8,Rise,Vicious Teknique
0.727,0.487,6,-11.86,0.545,0.539,0.0,0.1,0.354,83.244,3.26,8,Legendary,Jay Brown the Cowboy Boss
0.676,0.585,9,-9.779,0.185,0.184,0.0,0.0514,0.955,78.497,2.77,4,Vaccine,Da Foundation
0.344,0.943,6,-6.277,0.158,0.000391,0.172,0.329,0.129,138.992,3.03,3,Does Houdini Have a Deathwish?,Brett Schleicher
0.486,0.965,5,-6.414,0.105,0.00633,0.427,0.223,0.169,115.0,3.14,2,Game Over,Brett Schleicher
0.341,0.97,6,-6.588,0.155,0.000304,0.744,0.0688,0.215,129.997,3.62,2,Hand Banana,Brett Schleicher
0.426,0.92,6,-7.878,0.0707,0.000363,0.746,0.112,0.248,118.244,2.14,2,Ice Cream with Berserker,Brett Schleicher
0.775,0.572,9,-6.694,0.231,0.104,0.0,0.0935,0.762,144.125,4.53,8,Playas Still Alive,TEXAS BOYZ
0.803,0.7,2,-8.794,0.0524,0.0671,7.09e-06,0.0677,0.809,115.176,3.32,1,We Are Family,Sister Sledge
0.902,0.839,7,-6.736,0.0662,0.00373,8.79e-05,0.0859,0.857,118.485,5.5,0,Le Freak,CHIC
0.685,0.914,5,-9.031,0.0393,0.16,0.0802,0.329,0.914,108.662,3.09,0,That's the Way (I Like It),KC & The Sunshine Band
0.766,0.844,10,-3.851,0.0361,0.0261,0.605,0.18,0.835,129.323,3.19,1,Disco Inferno (Single Edit),The Trammps
0.761,0.894,1,-5.671,0.0794,0.0136,0.0258,0.331,0.872,123.886,8.74,0,Street Player - Dance Mix,Chicago
0.788,0.733,5,-5.453,0.0592,0.53,0.00117,0.167,0.962,105.886,4.07,1,You Sexy Thing,Hot Chocolate
0.594,0.906,1,-5.536,0.0594,0.169,0.00122,0.0778,0.892,104.411,3.33,0,Rock Your Baby,George McCrae
0.69,0.496,7,-12.978,0.0314,0.214,4.21e-06,0.368,0.889,115.578,3.88,0,Young Hearts Run Free,Candi Staton
0.55,0.547,5,-11.171,0.0727,0.255,4.15e-05,0.36,0.819,111.609,4.82,0,Street Life (Edit),Randy Crawford
0.574,0.641,5,-11.798,0.0491,0.000263,0.224,0.154,0.874,115.041,8.38,0,I'm Every Woman - Remix,Chaka Khan
0.821,0.611,10,-9.795,0.0555,0.414,0.000152,0.0943,0.96,97.264,7.4,0,The Rubberband Man,The Spinners
0.669,0.816,11,-10.759,0.0336,0.396,0.0383,0.162,0.881,120.39,5.06,0,Going Back to My Roots,Richie Havens
0.538,0.969,11,-5.626,0.0906,0.417,0.00154,0.119,0.928,138.652,2.76,0,Move On Up,Curtis Mayfield
0.679,0.908,5,-7.776,0.0588,0.105,0.238,0.0316,0.661,121.135,5.34,0,Tonight I'm Alright,Narada Michael Walden
0.548,0.723,2,-10.305,0.0412,0.0348,5.11e-05,0.0993,0.406,116.785,5.09,0,Is It Love You're After,Rose Royce
0.81,0.474,11,-8.697,0.0467,0.218,0.0,0.083,0.87,109.335,3.36,0,Grease,Frankie Valli
0.72,0.856,2,-8.74,0.0448,0.0122,3.2e-05,0.0667,0.891,113.871,3.58,0,He's the Greatest Dancer,Sister Sledge
0.86,0.712,11,-10.812,0.0418,0.121,0.000124,0.0362,0.817,110.527,3.74,0,Good Times,CHIC
0.681,0.849,9,-12.919,0.049,0.105,8.45e-06,0.123,0.75,131.112,6.1,0,Saturday,Norma Jean Wright
0.644,0.572,6,-12.627,0.13,0.0911,0.00842,0.365,0.826,123.148,7.16,0,Shoot Me,Tasha Thomas
0.63,0.877,6,-7.12,0.0487,0.00306,0.0212,0.0292,0.962,123.945,5.23,0,Wear It Out,Stargard
0.807,0.865,0,-10.269,0.0444,0.133,0.00113,0.0619,0.962,112.617,4.03,0,"Saturday Night (7"" Disco Version)",T-Connection
0.915,0.518,10,-10.792,0.045,0.101,0.000345,0.086,0.905,108.654,5.32,1,Dance with Me,Peter Brown
0.753,0.753,5,-13.023,0.0436,0.0144,4.43e-05,0.0711,0.913,113.068,4.04,0,I'm Your Boogie Man,KC & The Sunshine Band
0.728,0.592,1,-9.518,0.0251,0.0569,3.23e-06,0.0409,0.965,104.407,3.34,0,"December, 1963 (Oh What a Night!)",Frankie Valli & The Four Seasons
0.749,0.752,7,-10.3,0.126,0.0108,0.0954,0.235,0.887,104.7,3.23,0,Rock Steady,Aretha Franklin
0.762,0.693,8,-9.368,0.0683,0.515,0.0,0.286,0.841,92.665,3.89,0,Express Yourself,Charles Wright & The Watts 103rd Street Rhythm Band
0.724,0.579,10,-10.933,0.0575,0.201,0.00856,0.0724,0.833,94.92,4.19,0,"Supernatural Thing, Pt. 1",Ben E. King
0.696,0.886,4,-6.965,0.452,0.0531,0.0,0.336,0.504,85.449,3.01,1,So Fa Real,Mack Biggers
0.652,0.74,11,-7.704,0.355,0.372,0.000136,0.174,0.69,162.429,2.91,0,Timeless (feat. Trae tha Truth),Mack Biggers
0.586,0.938,1,-5.311,0.405,0.0107,0.0,0.164,0.83,115.878,2.97,1,Poa Dna (feat. Bleeda),Mack Biggers
0.468,0.705,11,-6.245,0.265,0.0204,0.0,0.215,0.556,79.189,2.99,1,Goes Around,Mack Biggers
0.597,0.653,5,-9.481,0.471,0.197,0.0,0.117,0.855,170.195,3.95,0,Konfused (feat. Trae tha Truth),Mack Biggers
0.768,0.703,9,-8.839,0.34,0.00327,7.66e-06,0.258,0.43,116.967,5.26,0,Bro & Nem (feat. SkrillMatik),Mack Biggers
