year,track_name,track_popularity,album,artist_name,artist_genres,main_genre,artist_popularity,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_min
2019,Someone You Loved,89,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,"['pop', 'uk pop']",pop,81,0.501,0.405,1,-5.679,0.0319,0.751,0.0,0.105,0.446,109.891,3.04
2022,Anti-Hero,89,Midnights,Taylor Swift,['pop'],pop,100,0.637,0.643,4,-6.571,0.0519,0.13,1.8e-06,0.142,0.533,97.008,3.34
2022,I Ain't Worried,89,"I Ainít Worried (Music From The Motion Picture ""Top Gun: Maverick"")",OneRepublic,"['piano rock', 'pop']",rock,83,0.704,0.797,0,-5.927,0.0475,0.0826,0.000745,0.0546,0.825,139.994,2.47
2023,See You Again (feat. Kali Uchis),89,Flower Boy,"Tyler, The Creator","['hip hop', 'rap']",hip hop,85,0.558,0.559,6,-9.222,0.0959,0.371,7.49e-06,0.109,0.62,78.558,3.01
2023,Anti-Hero,89,Midnights,Taylor Swift,['pop'],pop,100,0.637,0.643,4,-6.571,0.0519,0.13,1.8e-06,0.142,0.533,97.008,3.34
2000,In the End,88,Hybrid Theory (Bonus Edition),Linkin Park,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']",rap,86,0.556,0.864,3,-5.87,0.0584,0.00958,0.0,0.209,0.4,105.143,3.61
2002,Without Me,88,The Eminem Show,Eminem,"['detroit hip hop', 'hip hop', 'rap']",hip hop,90,0.908,0.669,7,-2.827,0.0738,0.00286,0.0,0.237,0.662,112.238,4.84
2002,In the End,88,Hybrid Theory (Bonus Edition),Linkin Park,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']",rap,86,0.556,0.864,3,-5.87,0.0584,0.00958,0.0,0.209,0.4,105.143,3.61
2009,Heartless,88,808s & Heartbreak,Kanye West,"['chicago rap', 'hip hop', 'rap']",rap,94,0.79,0.647,10,-5.983,0.136,0.0515,0.0,0.248,0.654,87.999,3.52
2013,When I Was Your Man,88,Unorthodox Jukebox,Bruno Mars,"['dance pop', 'pop']",pop,89,0.612,0.28,0,-8.648,0.0434,0.932,0.0,0.088,0.387,72.795,3.56
